trackId,albumId,trackName
334,30,Eleanor Rigby
335,30,Yellow Submarine
336,31,Two Of Us
337,31,Dig A Pony
338,31,Across The Universe
339,31,I Me Mine
340,31,Dig It
341,31,Let It Be
342,31,Maggie Mae
343,31,I've Got A Feeling
344,31,One After 909
345,31,The Long And Winding Road
346,31,For You Blue
347,31,Get Back
348,32,Death On Two Legs (Dedicated To ...)
349,32,Lazing On A Sunday Afternoon
350,32,I'm In Love With My Car
351,32,You're My Best Friend
352,32,'39
353,32,Sweet Lady
354,32,Seaside Rendezvous
355,32,The Prophet's Song
356,32,Love Of My Life
357,32,Good Company
358,32,Bohemian Rhapsody
359,32,God Save The Queen
360,33,Gone Hollywood
361,33,The Logical Song
362,33,Goodbye Stranger
363,33,Breakfast In America
364,33,Oh Darling
365,33,Take The Long Way Home
366,33,Lord Is It Mine
367,33,Just Another Nervous Wreck
368,33,Casual Conversations
369,33,Child Of Vision
370,34,Down To The Waterline
371,34,Water Of Love
372,34,Setting Me Up
373,34,Six Blade Knife
374,34,Southbound Again
375,34,Sultans Of Swing
376,34,In The Gallery
377,34,Wild West End
378,34,Lions
379,35,London Calling
380,35,Brand New Cadillac
381,35,Jimmy Jazz
382,35,Hateful
383,35,Rudie Can't Fail
384,35,Spanish Bombs
385,35,The Right Profile
386,35,Lost In The Supermarket
387,35,Clampdown
388,35,The Guns Of Brixton
389,35,Wrong 'Em Boyo
390,35,Death Or Glory
391,35,Koka Kola
392,35,The Card Cheat
393,35,Lover's Rock
394,35,Four Horsemen
395,35,I'm Not Down
396,35,Revolution Rock
397,35,Train In Vain
398,36,Is This Love
399,36,No Woman No Cry
400,36,Could You Be Loved
401,36,Three Little Birds
402,36,Buffalo Soldier
403,36,Get Up Stand Up
404,36,Stir It Up
405,36,One Love / People Get Ready
406,36,I Shot The Sheriff
407,36,Waiting In Vain
408,36,Redemption Song
409,36,Satisfy My Soul
410,36,Exodus
411,36,Jamming
412,37,Magical Mystery Tour
413,37,The Fool On The Hill
414,37,Flying
415,37,Blue Jay Way
416,37,Your Mother Should Know
417,37,I Am The Walrus
418,37,Hello Goodbye
419,37,Strawberry Fields Forever
420,37,Penny Lane
421,37,Baby You're A Rich Man
422,37,All You Need Is Love
423,38,Foxy Lady
424,38,Manic Depression
425,38,Red House
426,38,Can You See Me
427,38,Love Or Confusion
428,38,I Don't Live Today
429,38,May This Be Love
430,38,Fire
431,38,3rd Stone From The Sun
432,38,Remember
433,38,Are You Experienced
434,39,Custard Pie
435,39,The Rover
436,39,In My Time Of Dying
437,39,Houses Of The Holy
438,39,Trampled Under Foot
439,39,Kashmir
440,39,In The Light
441,39,Bron-Yr-Aur
442,39,Down By The Seaside
443,39,Ten Years Gone
444,39,Night Flight
445,39,The Wanton Song
446,39,Boogie With Stu
447,39,Black Country Woman
448,39,Sick Again
449,40,Bohemian Rhapsody
450,40,Another One Bites The Dust
451,40,Killer Queen
452,40,Fat Bottomed Girls
453,40,Bicycle Race
454,40,You're My Best Friend
455,40,Don't Stop Me Now
456,40,Save Me
457,40,Crazy Little Thing Called Love
458,40,Somebody To Love
459,40,Now I'm Here
460,40,Good Old Fashioned Lover Boy
461,40,Play The Game
462,40,Flash
463,40,Seven Seas Of Rhye
464,40,We Will Rock You
465,40,We Are The Champions
466,41,Baba O'Riley
467,41,Bargain
468,41,Love Ain't For Keeping
469,41,My Wife
470,41,Song Is Over
471,41,Getting In Tune
472,41,Going Mobile
473,41,Behind Blue Eyes
474,41,Won't Get Fooled Again
475,42,Bad
476,42,The Way You Make Me Feel
477,42,Speed Demon
478,42,Liberian Girl
479,42,Just Good Friends
480,42,Another Part Of Me
481,42,Man In The Mirror
482,42,I Just Can't Stop Loving You
483,42,Dirty Diana
484,42,Smooth Criminal
485,43,Brown Sugar
486,43,Sway
487,43,Wild Horses
488,43,Can't You Hear Me Knocking
489,43,You Gotta Move
490,43,Bitch
491,43,I Got The Blues
492,43,Sister Morphine
493,43,Dead Flowers
494,43,Moonlight Mile
495,44,Sunday Morning
496,44,I'm Waiting For The Man
497,44,Femme Fatale
498,44,Venus In Furs
499,44,Run Run Run
500,44,All Tomorrow's Parties
501,44,Heroin
502,44,There She Goes Again
503,44,I'll Be Your Mirror
504,44,The Black Angel's Death Song
505,44,European Son
506,45,Holidays In The Sun
507,45,Liar
508,45,No Feelings
509,45,God Save The Queen
510,45,Problems
511,45,Seventeen
512,45,Anarchy In The UK
513,45,Bodies
514,45,Pretty Vacant
515,45,New York
516,45,E.M.I.
517,46,Modern Love
518,46,China Girl
519,46,Let's Dance
520,46,Without You
521,46,Ricochet
522,46,Criminal World
523,46,Cat People (Putting Out Fire)
524,46,Shake It
525,47,Outside
526,47,Disorder
527,47,Day Of The Lords
528,47,Candidate
529,47,Insight
530,47,New Dawn Fades
531,47,Inside
532,47,She's Lost Control
533,47,Shadowplay
534,47,Wilderness
535,47,Interzone
536,47,I Remember Nothing
537,48,Fight Fire With Fire
538,48,Ride The Lightning
539,48,For Whom The Bell Tolls
540,48,Fade To Black
541,48,Trapped Under Ice
542,48,Escape
543,48,Creeping Death
544,48,The Call Of Ktulu
545,49,Synchronicity I
546,49,Walking In Your Footsteps
547,49,O My God
548,49,Mother
549,49,Miss Gradenko
550,49,Synchronicity II
551,49,Every Breath You Take
552,49,King Of Pain
553,49,Wrapped Around Your Finger
554,49,Tea In The Sahara
555,50,21st Century Schizoid Man (Including "Mirrors")
556,50,I Talk To The Wind
